"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"édition";-1,07421352729374;0,402288753788271;-0,813751459707605;-1,08529626421242;-0,689380272462687;-0,563732373851686;0,211115563512063;-0,427045489979948;-0,569548440614208;-0,361777214313225;0,438388763468745;0,0489358019003738;0,186532939026319;0,247141040645724;0,0790014549588388;0,00258029177164491;0,000361878987864691;0,00148071387045684;0,00263380852824836;0,00106268679991917;0,00223608126757857;0,82299050441817;0,00151452773974803
"système";-0,167447048737676;-0,5152560207725;0,130573286180455;-0,0729630376006143;-0,214347478535834;-0,278365970729525;-0,856567753673983;0,21706658811233;-0,121294623835911;-0,356333804542164;0,101945830348472;0,768304485831762;0,0459639065502645;0,0106903114977835;0,0730954657717165;5,60838856802518e-05;0,000531042464841022;3,41029359192175e-05;1,06485117132495e-05;9,19009199030395e-05;0,00200024457138864;0,26602758876494;0,000141558664451166
"écriture";1,84225796551347;-0,528570279348259;-1,19797417887223;0,6119773603458;0,0518139049846211;0,786568646292362;-0,225677845817568;-0,511485875381247;0,26128925096253;0,0221224138344357;0,694276567734803;0,0454893621570168;0,217680902035068;0,0423128627021584;0,000240305370956641;0,00687759327312942;0,000566162476886159;0,00290824183666774;0,000758938028943177;5,44036767764826e-06;0,00202644864874308;1,12154861520409;0,00254901158861139
"chose";0,706861197977421;0,0893805450222081;1,35172345517048;0,366256639269512;-0,775937616246541;0,403359923685464;0,051003690572183;0,771341065659726;0,208998952676652;-0,442777363603261;0,22728771748042;0,00289245376392102;0,616278722805647;0,0337014641804901;0,119839641769524;0,000903412818280467;1,44445481411934e-05;0,00330364720530378;0,000242543128788345;0,00108860813681513;0,00180808133745611;0,752107766118272;0,00102277030391551
"siècle";1,11383052359053;0,500135357407577;-0,614323242064562;-0,696378545167428;0,67441309025768;0,664701290357095;0,298466068563439;-0,36661003900337;-0,415578230032375;0,402469892711249;0,567429880236403;0,09105878134085;0,127985761304891;0,12249963956328;0,0910259375545766;0,00284997858671938;0,00057461701707441;0,000866956405410338;0,00111402293344671;0,00104485337324887;0,00229722411473892;0,750061594512943;0,00129240081785675
"pensée";0,978183688876787;0,460838125086895;1,92721958287509;0,659200353337129;-1,43647877703047;0,360040077189472;0,169620691915909;0,709351725314661;0,242631878651907;-0,528724753483631;0,190503066267938;0,0336535346218651;0,548298842004022;0,0477821926216575;0,179762364484519;0,00193899387148496;0,000430360501614139;0,00752658555965967;0,000880583342546973;0,00418151858071098;0,00202644864874308;1,13685047072551;0,00261904098603327
"élément";0,0891508491391318;-1,02626022300941;0,685266369913894;0,423957873572228;-0,849879227165058;0,0571575766153917;-0,657969586273316;0,439347077661342;0,271813503453963;-0,544885859300182;0,00493739519729582;0,5207564534696;0,216301510290291;0,0616683611961215;0,196336279846692;1,56200026902971e-05;0,00206987981237486;0,000922887946913746;0,000353244612239699;0,00141952996586921;0,00196530580158273;0,643591727688484;0,000814049929148854
"prendre";0,346598530999465;-0,258814818972006;-0,0143325114864339;0,230182502492809;0,0433596439278196;0,704292385284887;-0,525914826226287;-0,0291238357900575;0,467733614634838;0,0881073181671232;0,589790494847272;0,261755223958897;0,000747795285132283;0,143667661660721;0,00403882424797991;0,00028960772065329;0,000161486037623686;4,95223559216132e-07;0,000127732471300099;4,53239878366836e-06;0,00241077511660814;0,228934764912405;0,000126351439805719
"public";-0,974609575927706;1,77869199061615;-0,392254891543695;1,00299074053915;1,09757605606862;-0,382917861856914;0,698836693965827;-0,154114435239213;0,394068639705242;0,431230604537295;0,203624674953966;0,539812951836923;0,0244567972785669;0,119105818508302;0,112999757422244;0,00224012746433883;0,00746127214960918;0,000362867538247367;0,00237249458373918;0,00284106147206551;0,00235836696189927;1,09559334750723;0,00283080631201692
"publier";-1,43955455809254;-0,064972845852884;-0,53331619059014;-1,06581868642087;-0,455722213692707;-0,747922264522141;-0,0337567185137649;-0,277085054352528;-0,55374735263536;-0,236771012353797;0,689661254375401;0,00111819126345834;0,0701847727910357;0,20879317821904;0,0302426033510649;0,00503209315157792;1,02507630112493e-05;0,000690656257031173;0,00275841162505498;0,000504304461879433;0,0024282445015111;0,879314286817953;0,0018775031442325
"nom";-0,318066184909129;-1,08658223895733;-0,140414500544002;-0,777410842986646;0,607366716413111;-0,210884854241384;-0,720427847899832;-0,0930978924686965;-0,515440433744157;0,402697449584088;0,0652387189148976;0,605994070123953;0,00942731754195644;0,215249269936917;0,104090623482276;0,000224448307108229;0,00261942843974331;4,37426665147482e-05;0,00134085718055897;0,000818433340010454;0,00221861188267561;0,631682291265662;0,000885276097890168
"jour";-0,0453136423792913;0,860349716228145;-0,695096645040757;-0,482378785784701;-0,791561040002641;-0,0313841272680359;0,595876287390715;-0,481422380239146;-0,33409446713086;-0,548233404234459;0,00151859448974358;0,435719161781169;0,264952517610391;0,0950452350261201;0,202764491092578;4,91423732924423e-06;0,00177152881378155;0,00115634803198168;0,000556896618583789;0,00149957089193191;0,00239330573170519;0,589850534590594;0,000832687673296
